ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state,state_abb,pre_monthly_avg,volume_tercile,log_volume,att_se,precision
DE0010100,21,27,256,2.0754551379727,1.16277651287995,2.98813376306545,8.30791787781896e-06,DE,de,3.91666666666667,High,1.59263079411772,0.465652359741199,4.5906912139106
DE0010300,18,23,79,12.7718427131316,11.804681895805,13.7390035304583,1.04078331641246e-147,DE,de,2.1,Medium,1.1314021114911,0.493449396595248,4.09010824213428
DE0010400,7,9,22,20.7188303687366,19.4496989509568,21.9879617865163,1.18505509349757e-224,DE,de,1.33333333333333,Low,0.847297860387203,0.647516029479469,2.3793830733897
DE0020200,13,15,66,25.8876947939434,24.8940334814665,26.8813561064203,0,DE,de,2,Low,1.09861228866811,0.50697005738617,3.8756889949573
DE0020300,21,27,1016,-0.660251852604018,-1.77891681751549,0.45841311230745,0.247346045330524,DE,de,19.0833333333333,High,2.99989028370265,0.57074743107728,3.06041913037133
DE0020400,6,10,23,3.90617939095179,3.19014138820213,4.62221739370145,1.10563067796314e-26,DE,de,1,Low,0.693147180559945,0.365325511606969,7.43700506625476
DE0020500,13,20,64,4.17224626866676,3.23728156154071,5.10721097579281,2.20210186230292e-18,DE,de,2.14285714285714,Medium,1.145132304303,0.477022809758188,4.37539562544054
DE0020600,21,27,522,-4.50799295283075,-5.10085524618631,-3.91513065947519,3.13208146975388e-50,DE,de,10.6666666666667,High,2.4567357728213,0.3024807619161,10.8114406410046
DE0020700,8,10,24,29.177954662495,28.0556886381428,30.3002206868472,0,DE,de,1.6,Low,0.955511445027436,0.572584706302138,3.04087009173427
DE0030300,14,17,57,6.37624971431116,5.6248623400511,7.12763708857122,4.05332920258186e-62,DE,de,1.375,Low,0.864997437486604,0.383360905234725,6.75832835750303
DE0030500,18,24,96,18.4612455592916,17.7893512404789,19.1331398781043,0,DE,de,2.4,Medium,1.22377543162212,0.342803223884024,8.4378181103768
DE0030800,18,16,83,24.9895900732702,24.1735665223283,25.8056136242122,0,DE,de,2.18181818181818,Medium,1.15745278869104,0.416338546398969,5.73599118947055
DE0031300,12,18,46,12.7012199992148,12.0631735053468,13.3392664930827,0,DE,de,1.5,Low,0.916290731874155,0.325533925442829,9.3482112446172
DE0031500,11,19,49,10.1127802777503,9.43131383642216,10.7942467190785,5.41662770578215e-186,DE,de,2.8,Medium,1.33500106673234,0.347686959861308,8.20437275943657
DE301SP00,21,27,206,0.195803557294902,-0.541493155012475,0.933100269602279,0.602703755294507,DE,de,3.16666666666667,High,1.42711635564015,0.37617179199356,7.01728694856759
DE302SP00,21,27,393,0.531858361384629,-0.0857022384475373,1.1494189612168,0.0914111991637843,DE,de,7.58333333333333,High,2.14982233844164,0.315081938689881,9.97241350314158
DE303SP00,21,27,340,-7.85737555913509,-8.55522722679121,-7.15952389147896,6.36301441856755e-108,DE,de,6.5,High,2.01490302054226,0.356046769212308,7.82660612049581
IL0100000,6,29,64,5.59494591552231,4.97652676141503,6.21336506962959,2.35493475089163e-70,IL,il,1.83333333333333,Medium,1.04145387482816,0.315519976585348,9.94501840639083
IL0100100,12,34,300,4.61132784518554,3.88453769607385,5.33811799429723,1.67101134051203e-35,IL,il,4.66666666666667,High,1.73460105538811,0.370811300567188,7.2201633999761
IL0100400,7,22,55,-12.0903696977213,-13.0507895382755,-11.1299498571671,2.0485901228522e-134,IL,il,1.14285714285714,Low,0.762140052046897,0.490010122731737,4.1474859202215
IL0100600,10,34,130,-12.3926802470042,-13.1974980725092,-11.5878624214992,4.29442895072321e-200,IL,il,1.7,Medium,0.993251773010283,0.410621339543363,5.89588279607887
IL0160700,7,20,42,-28.6390937032174,-29.7742672427639,-27.5039201636709,0,IL,il,1.85714285714286,Medium,1.04982212449868,0.579170173238011,2.97231505886391
IL0162100,8,29,79,4.19787343021264,2.8767074521784,5.51903940824687,4.73317306931835e-10,IL,il,1.875,Medium,1.05605267424931,0.674064274507263,2.19605189054803
