iter,outcome,att
1,arrest_rate,-0.0126164998884645
1,clear_rate,-0.0100602633875779
2,arrest_rate,-0.00709579857691388
2,clear_rate,0.00336914026510524
3,arrest_rate,0.0224786444514073
3,clear_rate,0.0179361290208836
4,arrest_rate,-0.00673548253443308
4,clear_rate,-0.01087224530454
5,arrest_rate,-0.00945413845431906
5,clear_rate,-0.0103107777686316
6,arrest_rate,0.0115676236681253
6,clear_rate,0.018735214680482
7,arrest_rate,-0.0195029276413954
7,clear_rate,-0.00650773866899222
8,arrest_rate,0.00874599738101333
8,clear_rate,0.0100376746274094
9,arrest_rate,-0.0135812945166689
9,clear_rate,-0.00996465019986566
10,arrest_rate,-0.0194022737233596
10,clear_rate,-0.0337756662370528
11,arrest_rate,0.0179043400226686
11,clear_rate,0.0260389190750181
12,arrest_rate,0.0377283011334275
12,clear_rate,0.0368764344258755
13,arrest_rate,-0.0226056008936648
13,clear_rate,-0.0133044296770533
14,arrest_rate,-0.00588308426744986
14,clear_rate,0.000422339300160072
15,arrest_rate,0.0243033506365523
15,clear_rate,0.033138880042895
16,arrest_rate,0.0106265158998798
16,clear_rate,0.0152994317070542
17,arrest_rate,-0.00298386148246304
17,clear_rate,-0.0166106950974947
18,arrest_rate,-0.0150375110240634
18,clear_rate,-0.0156387459723792
19,arrest_rate,-0.0109071036833046
19,clear_rate,-0.0201877624316113
20,arrest_rate,-0.0390340123921458
20,clear_rate,-0.0252920529348008
21,arrest_rate,-0.000513427395659079
21,clear_rate,-0.0134962422479606
22,arrest_rate,-0.0402874553084657
22,clear_rate,-0.0379293902268972
23,arrest_rate,-0.0105126736468977
23,clear_rate,-0.0243408208726661
24,arrest_rate,-0.0242443647115209
24,clear_rate,-0.0439689556068737
25,arrest_rate,-0.0249600375842861
25,clear_rate,-0.0292271568674345
26,arrest_rate,-0.00607336619282202
26,clear_rate,8.07192239906919e-05
27,arrest_rate,-0.012411500948849
27,clear_rate,-0.0208439471996334
28,arrest_rate,-0.00665505481651957
28,clear_rate,-0.010960084256635
29,arrest_rate,0.0386364378706164
29,clear_rate,0.0300329840313342
30,arrest_rate,0.00809786868081817
30,clear_rate,-0.00218076188453011
31,arrest_rate,-0.00130185586577589
31,clear_rate,-0.0137703964427031
32,arrest_rate,0.0166677580375447
32,clear_rate,0.0117783332862287
33,arrest_rate,-0.00578375021225325
33,clear_rate,-0.00847317226502714
34,arrest_rate,-0.0108730552657479
34,clear_rate,-0.0118379216800218
35,arrest_rate,-0.0208977193222866
35,clear_rate,-0.0157873138200238
36,arrest_rate,-0.0198615577106835
36,clear_rate,-0.0252301255984913
37,arrest_rate,-0.0353088536793666
37,clear_rate,-0.0351675334969667
38,arrest_rate,0.00147178365990324
38,clear_rate,-0.0042133809601338
39,arrest_rate,-0.0128823328985654
39,clear_rate,-0.0214672277428245
40,arrest_rate,-0.00896796562393844
40,clear_rate,-0.0135597347799663
41,arrest_rate,-0.0151269545059515
41,clear_rate,-0.00345426737720378
42,arrest_rate,0.00859336122920707
42,clear_rate,0.00623128254356059
43,arrest_rate,-0.0221062706093044
43,clear_rate,-0.0154411727314268
44,arrest_rate,-0.00205878622168378
44,clear_rate,-0.0195272641086217
45,arrest_rate,0.0140679907599687
45,clear_rate,0.0104855204833815
46,arrest_rate,0.0146624852564323
46,clear_rate,0.00962736834886709
47,arrest_rate,-0.000262193596541031
47,clear_rate,-0.00338849454050519
48,arrest_rate,-0.0153093515074926
48,clear_rate,-0.0142435091930707
49,arrest_rate,-0.00178318742136606
49,clear_rate,-0.0102403041574837
50,arrest_rate,-0.017305884230358
50,clear_rate,-0.0195033365049309
51,arrest_rate,-0.0213341312960287
51,clear_rate,-0.0153487416301484
52,arrest_rate,0.0679606210789397
52,clear_rate,0.0766207256203032
53,arrest_rate,-0.00988685562051894
53,clear_rate,-0.00974144616681173
54,arrest_rate,-0.00942685393247411
54,clear_rate,-0.0248954952842655
55,arrest_rate,0.0526157088225979
55,clear_rate,0.0612245779857618
56,arrest_rate,0.012033042025998
56,clear_rate,0.00191913270794089
57,arrest_rate,-0.000798840658883038
57,clear_rate,-0.00608590303168923
58,arrest_rate,-0.00552873361612758
58,clear_rate,7.9545909878335e-05
59,arrest_rate,-0.00291780510310624
59,clear_rate,-0.0255198516167548
60,arrest_rate,-0.0126211545069104
60,clear_rate,0.000518574697963107
61,arrest_rate,-0.0382305403636059
61,clear_rate,-0.0398846168682742
62,arrest_rate,-0.0149137577675333
62,clear_rate,-0.0298260552576025
63,arrest_rate,-0.013125109325388
63,clear_rate,-0.0282368962186343
64,arrest_rate,-0.00836413418055208
64,clear_rate,-0.0185444070821862
65,arrest_rate,-0.00692129220397244
65,clear_rate,-0.010156305682526
66,arrest_rate,0.0233872105860186
66,clear_rate,0.0199116319015254
67,arrest_rate,0.0193493615477111
67,clear_rate,0.0223922323428512
68,arrest_rate,-0.0276408969202077
68,clear_rate,-0.0380594119816106
69,arrest_rate,-0.0133238143585959
69,clear_rate,-0.0124362415647853
70,arrest_rate,-0.0576093603243951
70,clear_rate,-0.05532110348381
71,arrest_rate,0.0366901291791341
71,clear_rate,0.0476045226735573
72,arrest_rate,-0.0367846957402312
72,clear_rate,-0.024323380800365
73,arrest_rate,0.0192462853199948
73,clear_rate,0.00442824013716018
74,arrest_rate,0.0645479632721507
74,clear_rate,0.0648074760616836
75,arrest_rate,-0.000474010124402473
75,clear_rate,-0.00617374505107414
76,arrest_rate,-0.0127248403324194
76,clear_rate,-0.00258159319276642
77,arrest_rate,0.00168037340337184
77,clear_rate,-0.00532082927924033
78,arrest_rate,-0.00794372910994025
78,clear_rate,-0.001045120061408
79,arrest_rate,-0.013505756651402
79,clear_rate,0.00502003718001809
80,arrest_rate,-0.0289078472880211
80,clear_rate,-0.0314466387172053
81,arrest_rate,0.0385672462911498
81,clear_rate,0.046437967810396
82,arrest_rate,-0.0081538874678469
82,clear_rate,-0.0128058097684863
83,arrest_rate,-0.00823073708675176
83,clear_rate,-0.0102833666609393
84,arrest_rate,0.0066958674903144
84,clear_rate,-0.0167035539632003
85,arrest_rate,-0.0168344970894354
85,clear_rate,-0.0140392339307537
86,arrest_rate,0.00682162620966105
86,clear_rate,0.0440693071218889
87,arrest_rate,-0.0336673501429188
87,clear_rate,-0.0331467099071256
88,arrest_rate,0.0317768670157314
88,clear_rate,0.0324833236140229
89,arrest_rate,-0.038286093461872
89,clear_rate,-0.0472320635681279
90,arrest_rate,-0.00605523432800251
90,clear_rate,-0.0088923537859832
91,arrest_rate,-0.0244917844623488
91,clear_rate,-0.0314611394723754
92,arrest_rate,-0.0101477017020628
92,clear_rate,-0.0250156663491882
93,arrest_rate,-0.0483861637919961
93,clear_rate,-0.0510041873687724
94,arrest_rate,0.0174104801705156
94,clear_rate,0.0197876124637926
95,arrest_rate,-0.0278112448567424
95,clear_rate,-0.0256352016324347
96,arrest_rate,-0.0281319634357639
