ori,pre_months,post_months,tot_n,att_pp,ci_lo_pp,ci_hi_pp,p,state
OR0030400,7,11,24,0.897459652082213,0.207399140508899,1.58752016365553,0.0108006861314139,OR
OR0030700,7,25,57,27.5392670374256,27.0077724940404,28.0707615808107,0,OR
OR0070100,8,19,36,-1.37476134379713,-1.93069679182852,-0.81882589576574,1.25441165816973e-06,OR
OR0090000,11,25,66,21.832143808088,20.9741809084135,22.6901067077626,0,OR
OR0090100,11,31,105,-0.781500834439989,-1.44191900131487,-0.121082667565109,0.0203760040300303,OR
OR0090200,8,25,63,-10.7570633150881,-11.5636538231453,-9.95047280703085,1.29856684151523e-150,OR
OR0100000,9,23,59,11.4135261975118,9.95348503026063,12.873567364763,5.4651676884505e-53,OR
OR0100500,7,21,42,18.7369295636782,18.0276069026285,19.4462522247279,0,OR
OR0150000,11,29,101,11.5808871417664,10.5299274680681,12.6318468154647,1.87902925258838e-103,OR
OR0150400,12,32,142,20.8138228875834,20.219980861556,21.4076649136107,0,OR
OR0170000,6,19,38,-43.287263406704,-43.785198634179,-42.7893281792289,0,OR
OR0170100,8,16,41,3.69065756974669,2.53460392136975,4.84671121812362,3.91885561708374e-10,OR
OR0180000,11,24,69,6.77194255758568,6.17395577716354,7.36992933800783,3.74114345009332e-109,OR
OR0180100,11,22,58,11.4504287267739,10.7008304583985,12.2000269951493,5.9693393523619e-197,OR
OR0200000,6,31,82,13.5700735898209,12.6526988545411,14.4874483251006,8.08811992840806e-185,OR
OR0200200,11,35,240,-7.25265778643571,-8.19515328044668,-6.31016229242474,2.11049894156802e-51,OR
OR0200600,11,34,150,-4.67273984320726,-5.50757540560693,-3.83790428080759,5.29740125068683e-28,OR
OR0220000,11,27,89,-4.47557326859504,-5.7572946753478,-3.19385186184228,7.70025637024632e-12,OR
OR0220100,12,26,88,-1.82067705696819,-2.66763590970384,-0.973718204232536,2.51619984446342e-05,OR
OR0230200,8,14,33,-10.0490006005773,-10.8812803961077,-9.21672080504684,8.23909246123953e-124,OR
OR0240200,12,36,300,6.62196841582401,6.02571356581996,7.21822326582805,4.70274973586995e-105,OR
OR0240500,6,15,33,12.1199843826805,10.7036157590504,13.5363530063105,3.91887851116771e-63,OR
OR0241700,10,26,61,22.5892411539723,21.7106433266004,23.4678389813443,0,OR
OR024SP00,7,17,43,2.69599230242639,2.3909711577138,3.00101344713898,3.10770156320298e-67,OR
OR0260000,10,31,82,-24.2095766222629,-25.0584220860198,-23.360731158506,0,OR
OR0260100,10,34,112,7.16336683868148,6.37559203390444,7.95114164345852,4.71872327245463e-71,OR
OR0260200,12,36,691,6.31494393459675,5.63295117845495,6.99693669073855,1.31447062617764e-73,OR
OR0270200,6,15,29,-29.8311946258409,-30.9106815546956,-28.7517076969862,0,OR
OR0300000,8,14,29,-2.36869839151134,-3.2326065875088,-1.50479019551389,7.7005789600594e-08,OR
OR0300300,7,22,38,-10.2487608211606,-11.1807848543054,-9.31673678801592,5.00209130315178e-103,OR
OR0330100,7,16,39,2.18272711680265,1.35385183284709,3.01160240075822,2.45128365239611e-07,OR
OR0340000,12,36,353,-1.75800895836809,-2.40846729599286,-1.10755062074333,1.17503181676146e-07,OR
OR0340100,10,33,133,15.8761688785612,15.3530416631586,16.3992960939637,0,OR
OR0340200,6,29,85,-1.3796375116626,-2.03638630689572,-0.722888716429487,3.83190863221182e-05,OR
OR0340300,12,35,177,25.3137174072721,24.7477810498828,25.8796537646615,0,OR
OR0340400,9,28,68,8.62618699204927,7.20454708079489,10.0478269033036,1.28956393022084e-32,OR
OR0340600,7,12,28,8.0249035727068,7.27608989597723,8.77371724943637,5.90672210705206e-98,OR
OR0341200,9,23,53,0.150213626590381,-0.605843055557174,0.906270308737937,0.696970258394165,OR
OR0360000,10,22,42,-7.19178987981539,-7.98521598114363,-6.39836377848715,1.29900969227919e-70,OR
OR0360100,7,22,43,-37.4956034875962,-38.1630841550469,-36.8281228201455,0,OR
UT0020100,12,18,56,-1.68369335484157,-1.87583203153616,-1.49155467814698,4.06561521318159e-66,UT
UT0021700,8,17,34,-4.3606760602273,-4.3936071127745,-4.32774500768011,0,UT
UT0030000,14,29,129,11.2358719795826,10.7655750724425,11.7061688867228,0,UT
UT0030100,15,30,157,-4.91220925793199,-5.58662147616584,-4.23779703969814,3.08685808956431e-46,UT
UT0040100,6,14,27,5.30240004615038,4.64037289073067,5.9644272015701,1.55337706690773e-55,UT
UT0060000,8,22,50,-1.66312182975052,-2.26483459246318,-1.06140906703786,6.0471914339283e-08,UT
UT0060100,14,11,46,-1.56484785738476,-2.17040633530352,-0.959289379466007,4.08584097324778e-07,UT
UT0060200,15,28,144,8.96582712623211,7.9590265819194,9.97262767054482,3.1914287577272e-68,UT
UT0060300,16,30,198,5.12694880430165,4.55157396367668,5.70232364492663,2.65524211957933e-68,UT
UT0060500,10,23,55,-6.38085710291488,-6.90825365800949,-5.85346054782026,2.60941053771769e-124,UT
UT0060600,13,20,63,-13.5698224355369,-14.7121254060847,-12.427519464989,6.50987488447722e-120,UT
UT0060700,9,14,38,30.8419205596357,30.0463579868895,31.6374831323818,0,UT
UT0060800,8,15,26,-6.28051020788006,-6.88722060736696,-5.67379980839317,1.59476528501642e-91,UT
UT0061000,8,10,23,-11.0396317431052,-11.8663202373335,-10.2129432488769,5.26617925589414e-151,UT
UT0061200,14,25,68,0.519390257791071,-0.0540236782462442,1.09280419382839,0.0758417046301103,UT
UT0070000,15,21,85,9.54422412387722,8.50332364228667,10.5851246054678,3.25017651260678e-72,UT
UT0070200,9,21,45,9.62444788925301,8.72290353862943,10.5259922398766,3.23754921793363e-97,UT
UT0100100,8,9,20,0.12216535280566,-0.714421813346308,0.958752518957628,0.774713185023477,UT
UT0110000,12,26,74,-12.8941195866287,-13.5478330339174,-12.2404061393399,0,UT
UT0110100,12,28,108,11.9408130797485,11.1888948761329,12.6927312833641,1.08116320159688e-212,UT
UT0110800,8,17,29,0.330101606352401,0.0696487411356153,0.590554471569187,0.0129867866833478,UT
UT0120100,12,8,28,3.54035369030233,2.69038512715535,4.39032225344931,3.24267232958881e-16,UT
UT0140000,7,19,49,-22.0794731731082,-22.8395049688872,-21.3194413773292,0,UT
UT0180000,16,28,338,1.31269106589859,1.00154893018086,1.62383320161632,1.34941084937229e-16,UT
UT0180200,12,26,91,-8.6210517474687,-9.19552871121685,-8.04657478372054,3.71271469171679e-190,UT
UT0180300,16,32,521,4.5209493840667,3.81720567620247,5.22469309193093,2.35704659697695e-36,UT
UT0180400,8,17,45,-7.57387645330334,-8.20630157532777,-6.94145133127891,7.73240389425446e-122,UT
UT0180500,16,28,218,-40.9547221680455,-41.7939766187563,-40.1154677173347,0,UT
UT0180600,16,32,384,-3.30412013909024,-3.75734969197125,-2.85089058620922,2.57251947538703e-46,UT
UT0181200,13,24,90,6.46764267637025,6.22206126067197,6.71322409206852,0,UT
UT0181700,11,18,52,-6.34646258812388,-6.93373687099301,-5.75918830525475,1.42913087652637e-99,UT
UT0181800,13,30,115,-16.7604570315708,-17.3897451034295,-16.1311689597121,0,UT
UT0181900,8,16,39,-1.65379625614303,-2.05564459756338,-1.25194791472268,7.24438239323333e-16,UT
UT0182500,16,32,357,-6.06650187375374,-7.01361344585697,-5.11939030165051,3.76391298301015e-36,UT
UT0182800,8,20,73,25.5763064414709,24.2735861668849,26.8790267160568,0,UT
UT0183900,9,24,86,-26.4173419758043,-27.2932851119127,-25.5413988396959,0,UT
UT0184200,9,15,42,-15.1625137870968,-16.2302484000038,-14.0947791741897,1.71804248728218e-170,UT
UT0184800,12,22,80,-24.9994315061283,-25.522952177298,-24.4759108349586,0,UT
UT0200000,12,18,46,-17.5010485735783,-18.3281513447981,-16.6739458023585,0,UT
UT0210100,8,19,34,9.78545391259139,8.75275858647735,10.8181492387054,5.38829032950635e-77,UT
UT0230000,12,30,101,10.8702391142344,10.0391906023796,11.7012876260892,5.88967883621214e-145,UT
UT0230100,15,29,156,-8.84079843717228,-9.29154132020724,-8.39005555413731,1.1125369292536e-308,UT
UT0230200,9,17,41,17.3373791602127,16.7285161342531,17.9462421861723,0,UT
UT0240000,12,17,51,4.84555847492219,3.97649968091596,5.71461726892843,8.44584894079082e-28,UT
UT0240100,7,18,60,-7.2710089462352,-8.44710349168717,-6.09491440078324,8.54534051056063e-34,UT
UT0250000,15,32,123,-20.7896947906657,-21.2769516273214,-20.3024379540101,0,UT
UT0250100,12,30,91,6.30947196896631,5.49339742207366,7.12554651585897,7.15968875884278e-52,UT
UT0250300,14,31,147,-15.9848782472265,-16.6679437397654,-15.3018127546875,0,UT
UT0250400,13,20,68,-0.441620496446945,-1.23648465644666,0.353243663552771,0.27617102746943,UT
UT0250500,11,27,68,-10.7049037901055,-11.5760679117979,-9.83373966841303,3.62773162086237e-128,UT
UT0250600,15,32,181,-2.63672332493986,-3.32415783504074,-1.94928881483898,5.57164382417677e-14,UT
UT0250700,13,25,101,-14.10529679046,-14.6171904191173,-13.5934031618026,0,UT
UT0250800,12,23,65,-16.9727984186175,-17.5472270486141,-16.3983697886209,0,UT
UT0251400,7,12,24,-13.1484426344326,-13.7603115217786,-12.5365737470865,0,UT
UT0252200,15,28,126,-9.9546372891714,-10.4735311543216,-9.43574342402122,1.21484853907256e-308,UT
UT0260000,6,13,21,-32.8173764991585,-33.719672519114,-31.915080479203,0,UT
UT0270000,6,23,40,16.5693703879558,15.7302499612022,17.4084908147094,0,UT
UT0270100,16,32,261,-1.65208362751825,-2.27094709079094,-1.03322016424555,1.67406999983861e-07,UT
UT0270300,16,25,88,10.3324347163569,9.47519318056223,11.1896762521516,2.17871333009051e-123,UT
UT0271000,10,24,57,10.8266979649199,9.89741111831067,11.7559848115291,2.05675792559035e-115,UT
UT0290000,15,29,122,-11.3640603663831,-12.5034627191894,-10.2246580135769,4.25184297085727e-85,UT
UT0290100,16,32,280,-0.57062320718957,-1.12780515988819,-0.0134412544909483,0.0447196099453428,UT
UT0290200,15,31,141,1.42801237795025,1.00991895224926,1.84610580365124,2.16488794334599e-11,UT
UT0290300,6,16,32,4.41527936083118,3.24748791558911,5.58307080607326,1.25800527020354e-13,UT
UT0290500,14,18,57,2.7505819223643,2.03487144666045,3.46629239806815,4.97505411741819e-14,UT
UT0290800,6,11,22,1.12105270887051,0.214703149157326,2.02740226858369,0.0153379257729456,UT
DE0010100,21,27,256,2.0754551379727,1.16277651287995,2.98813376306545,8.30791787781896e-06,DE
DE0010300,18,23,79,12.7718427131316,11.804681895805,13.7390035304583,1.04078331641246e-147,DE
DE0010400,7,9,22,20.7188303687366,19.4496989509568,21.9879617865163,1.18505509349757e-224,DE
DE0020200,13,15,66,25.8876947939434,24.8940334814665,26.8813561064203,0,DE
DE0020300,21,27,1016,-0.660251852604018,-1.77891681751549,0.45841311230745,0.247346045330524,DE
DE0020400,6,10,23,3.90617939095179,3.19014138820213,4.62221739370145,1.10563067796314e-26,DE
DE0020500,13,20,64,4.17224626866676,3.23728156154071,5.10721097579281,2.20210186230292e-18,DE
DE0020600,21,27,522,-4.50799295283075,-5.10085524618631,-3.91513065947519,3.13208146975388e-50,DE
DE0020700,8,10,24,29.177954662495,28.0556886381428,30.3002206868472,0,DE
DE0030300,14,17,57,6.37624971431116,5.6248623400511,7.12763708857122,4.05332920258186e-62,DE
DE0030500,18,24,96,18.4612455592916,17.7893512404789,19.1331398781043,0,DE
DE0030800,18,16,83,24.9895900732702,24.1735665223283,25.8056136242122,0,DE
DE0031300,12,18,46,12.7012199992148,12.0631735053468,13.3392664930827,0,DE
DE0031500,11,19,49,10.1127802777503,9.43131383642216,10.7942467190785,5.41662770578215e-186,DE
DE301SP00,21,27,206,0.195803557294902,-0.541493155012475,0.933100269602279,0.602703755294507,DE
DE302SP00,21,27,393,0.531858361384629,-0.0857022384475373,1.1494189612168,0.0914111991637843,DE
DE303SP00,21,27,340,-7.85737555913509,-8.55522722679121,-7.15952389147896,6.36301441856755e-108,DE
NV0020100,42,6,4240,-2.71876976622949,-3.70276344473185,-1.73477608772713,6.11277489353197e-08,NV
NV0020200,41,6,701,4.75937311433491,2.95424827789847,6.56449795077136,2.3697286553014e-07,NV
NV0020300,42,6,562,-7.390942789964,-8.37803011920961,-6.40385546071838,9.21891649194622e-49,NV
NV0100000,36,6,131,11.6868110461158,10.7691828663497,12.604439225882,1.56848136114506e-137,NV
NV0160000,42,6,231,9.86278360713484,9.41012316768732,10.3154440465824,0,NV
NV0160100,42,6,659,15.4558355735764,14.7586981234405,16.1529730237124,0,NV
NV0160200,42,6,286,10.3356403864063,9.71359303681478,10.9576877359979,1.22614698886364e-232,NV
IN0020000,19,17,101,-4.08108645521005,-4.63691988330748,-3.52525302711261,5.90440450655832e-47,IN
IN0020100,30,18,397,9.34503674637326,8.78101861462862,9.90905487811789,2.43423138698147e-231,IN
IN0020200,16,8,35,24.1873966525502,23.2209745751498,25.1538187299505,0,IN
IN0060100,19,12,57,13.286448610136,12.46729151215,14.105605708122,8.74959127946355e-222,IN
IN0100000,16,10,42,2.54613801322062,1.16339620601605,3.92887982042518,0.000307280814694013,IN
IN0100200,15,9,37,19.7377796915951,19.0056773089285,20.4698820742617,0,IN
IN0100300,26,15,98,8.74594706026336,8.05292597677299,9.43896814375373,4.46741973901293e-135,IN
IN0120100,11,12,34,-3.48029721928844,-4.4545202461846,-2.50607419239228,2.52569194428965e-12,IN
IN0180000,18,7,37,5.79395480514081,5.02138086270058,6.56652874758105,6.53099096976576e-49,IN
IN0180100,29,18,230,11.0781908487523,10.4543689119178,11.7020127855869,1.91836716777804e-265,IN
IN0190200,10,9,20,-12.6787285431469,-13.5510956112718,-11.8063614750221,1.74310141805401e-178,IN
IN0200000,18,17,80,7.40581493146129,6.69325196598045,8.11837789694212,3.04376932680127e-92,IN
IN0200100,29,18,246,-0.77089216102958,-1.39348064308841,-0.148303678970751,0.0152292180220475,IN
IN0200200,25,15,72,0.692915593899987,0.113664694360836,1.27216649343914,0.0190472457779325,IN
IN0220100,27,9,97,10.364844654292,9.67156497396493,11.058124334619,9.52934965524283e-189,IN
IN0270000,14,7,28,-3.72561809314442,-3.76666093324784,-3.68457525304099,0,IN
IN0270200,19,12,49,8.62964400992446,7.95690789573632,9.3023801241126,1.71762551097686e-139,IN
IN0290000,14,7,24,19.8756793656001,18.9832638849748,20.7680948462255,0,IN
IN0290100,28,16,140,5.12626078837592,4.54411241816665,5.70840915858519,9.52649880756942e-67,IN
IN0290200,27,15,93,-0.704455251326598,-1.42011157736206,0.0112010747088656,0.0536907618218401,IN
IN0290400,22,10,64,9.90569221566096,9.14089882755897,10.670485603763,3.58706301907144e-142,IN
IN0290700,25,11,83,9.01256733979953,8.29898412473175,9.7261505548673,2.75032244873212e-135,IN
IN0300000,20,7,38,-6.58308579413515,-7.37090305406433,-5.79526853420596,2.74757236503968e-60,IN
IN0300700,8,10,24,8.56244953585528,7.14767379110942,9.97722528060113,1.85946396617594e-32,IN
IN0320000,27,15,84,17.6444824079805,17.0882273505083,18.2007374654527,0,IN
IN0320100,12,7,29,1.76723147359087,0.642873872554776,2.89158907462696,0.00206536057880966,IN
IN0320300,20,13,50,-36.8621670724822,-37.5025785069805,-36.2217556379839,0,IN
IN0321100,17,13,38,2.49178358125136,1.7035231648604,3.28004399764233,5.79934935592627e-10,IN
IN0340000,17,13,52,2.76400903067471,1.74906132059508,3.77895674075435,9.41477159347986e-08,IN
IN0340100,30,18,236,10.3914820891792,9.81510767330043,10.9678565050581,1.59161060518279e-273,IN
IN0410000,13,8,27,-0.580892628038708,-1.07289842639532,-0.0888868296820944,0.02066235635944,IN
IN0410200,12,8,24,-8.66316194322413,-9.45805703383396,-7.8682668526143,3.0778391517764e-101,IN
IN0410300,20,15,61,15.9974265620723,15.1929771805187,16.8018759436258,0,IN
IN0420200,9,11,30,-17.3303089101156,-18.1562051481916,-16.5044126720397,0,IN
IN0430000,17,14,65,-5.7237001411996,-5.90397279949271,-5.54342748290648,0,IN
IN0430100,22,11,60,-18.469432209474,-19.4034634700996,-17.5354009488485,0,IN
IN0450000,13,10,24,-4.24313978114921,-4.26720077793055,-4.21907878436788,0,IN
IN0450300,18,8,37,25.8740915968882,24.856969436915,26.8912137568614,0,IN
IN0450700,28,18,173,-1.59823959907077,-2.29161564608757,-0.904863552053957,6.24789484007146e-06,IN
IN0450900,18,8,34,28.5567425986027,27.7778316670353,29.3356535301701,0,IN
IN0460000,15,9,33,-23.7191288402329,-24.5313603106015,-22.9068973698643,0,IN
IN0460100,18,14,52,1.06404013909494,0.486964379259131,1.64111589893075,0.000301575852733494,IN
IN0460200,25,16,120,-11.8295151513723,-12.5571223224414,-11.1019079803033,7.93044970769942e-223,IN
IN0480200,26,16,134,-2.53885002696404,-3.1922852880323,-1.88541476589577,2.62953462278669e-14,IN
IN0490100,15,9,41,13.0434962558164,12.056986379463,14.0300061321699,4.53058617712245e-148,IN
IN0490200,29,17,184,9.745340739596,8.94346981506774,10.5472116641243,2.05415658853551e-125,IN
IN0490300,11,12,33,5.26765277089281,4.56555082991713,5.9697547118685,5.96315676040685e-49,IN
IN0495300,17,7,34,-17.8361920108966,-18.6502742948992,-17.022109726894,0,IN
IN0530100,29,15,131,15.9168755791296,15.3269052927365,16.5068458655228,0,IN
IN0540100,14,10,42,-4.27156885407492,-4.30120980867165,-4.24192789947819,0,IN
IN0570000,13,7,30,-4.86335970296306,-4.89239097335268,-4.83432843257343,0,IN
IN0570100,10,8,24,-5.10149469805623,-5.13063016301538,-5.07235923309708,0,IN
IN0640000,25,9,60,-4.11874917853769,-4.48340858531257,-3.75408977176281,1.36822221175591e-108,IN
IN0640200,19,14,59,19.0123476680708,18.3457287735875,19.6789665625541,0,IN
IN0640300,15,9,42,18.8795108825635,17.7057175039214,20.0533042612056,3.94727548689934e-218,IN
IN0650000,10,6,22,-3.60014203902647,-3.64780844065321,-3.55247563739973,0,IN
IN0650100,13,10,30,0.799135103286327,0.218556333630876,1.37971387294178,0.00697923567176831,IN
IN0710000,30,15,133,7.04831441776175,6.35349990825056,7.74312892727293,5.76092530039017e-88,IN
IN0710100,30,18,151,2.87295821149173,2.31194939010832,3.43396703287515,1.04524959809308e-23,IN
IN0710200,14,17,321,-3.9575856611327,-4.23839094501707,-3.67678037724833,5.78579652901223e-168,IN
IN0730000,17,13,40,-21.3227381604729,-22.048555446161,-20.5969208747848,0,IN
IN0730100,21,10,51,-10.22009951178,-11.1702947045824,-9.26990431897753,1.17976530492417e-98,IN
IN0790000,26,18,164,7.9652035550263,7.40536297612789,8.52504413392472,3.92802319708384e-171,IN
IN0790100,20,18,243,5.13627545179276,4.46250962736406,5.81004127622145,1.76837260609238e-50,IN
IN0820000,28,14,94,-16.0399282159664,-16.3755358028006,-15.7043206291323,0,IN
IN0820100,30,18,503,11.3181791222286,10.6154906869082,12.020867557549,9.63696450577911e-219,IN
IN0840000,28,15,142,3.93339875072461,3.28208239427785,4.58471510717138,2.52065092842357e-32,IN
IN0840100,30,17,222,-3.53160265340841,-4.31599331849969,-2.74721198831713,1.09842555054822e-18,IN
IN0870000,22,16,129,-8.45401019578498,-8.72361566189193,-8.18440472967803,0,IN
IN0870100,6,8,22,-3.50348886954757,-3.56225677952822,-3.44472095956692,0,IN
IN0920100,16,7,31,0.862773650346966,0.384173534380983,1.34137376631295,0.000410411133096453,IN
INIPD0000,30,18,3293,-2.70863911487833,-3.35434916792267,-2.06292906183399,2.0038392955483e-16,IN
INISP0000,30,18,355,4.96108816792445,4.48709263865881,5.4350836971901,1.60139638897822e-93,IN
IN0450500,16,8,72,-3.56652091279187,-4.0500584725253,-3.08298335305844,2.272831339841e-47,IN
CO0010000,30,13,222,-9.60457986994198,-10.2223779382719,-8.98678180161209,6.29810986021624e-204,CO
CO0010100,31,17,1730,0.334349841077124,-0.300655155170719,0.969354837324967,0.302071724749437,CO
CO0010200,30,16,170,5.29852861930667,4.74628097893194,5.8507762596814,6.84897889271807e-79,CO
CO0010300,31,17,336,2.12553242107638,1.60688585850579,2.64417898364698,9.54836717406496e-16,CO
CO0010400,31,17,339,-12.3504299046088,-12.9360962782308,-11.7647635309869,0,CO
CO0010500,31,15,223,2.2055468018845,1.50172481730834,2.90936878646067,8.14909704321805e-10,CO
CO0010600,30,14,175,-10.8912195340763,-11.4386402954954,-10.3437987726573,0,CO
CO0010800,10,7,23,36.8554078235433,35.9782755147761,37.7325401323106,0,CO
CO0020100,18,6,42,15.26781475718,14.3832939329038,16.1523355814562,6.72620506662513e-251,CO
CO0030000,30,16,159,2.47733471038557,1.96591483067286,2.98875459009827,2.21686397833462e-21,CO
CO0030100,27,15,94,6.23401265760634,5.64177836300065,6.82624695221204,1.43225709065224e-94,CO
CO0030200,24,14,59,-3.49779821641238,-4.15462749455643,-2.84096893826833,1.67077333599386e-25,CO
CO0030700,12,7,26,-26.7447822536111,-27.3557777040271,-26.133786803195,0,CO
CO0031100,30,15,123,21.4015062638006,20.9794450722459,21.8235674553552,0,CO
CO0070000,24,13,80,18.6427687124101,18.039320396451,19.2462170283692,0,CO
CO0070100,25,15,112,14.6804965031563,14.0046263814307,15.3563666248819,0,CO
CO0070300,25,15,92,-10.5018791173339,-11.1109555672249,-9.89280266744286,2.34284969756729e-250,CO
CO0070400,31,17,339,-1.40278924547407,-1.98007347866819,-0.82550501227994,1.90961818478571e-06,CO
CO0180000,31,17,484,0.790048398887521,0.0488500878466581,1.53124670992838,0.0366917447157861,CO
CO0180100,25,10,68,-12.4818875813332,-12.9510420447222,-12.0127331179441,0,CO
CO0180500,30,16,155,-4.59309119323144,-4.99108095870566,-4.19510142775723,2.76576448616408e-113,CO
CO0210000,31,17,534,0.127128335033032,-0.548030107979965,0.802286778046029,0.712085694778103,CO
CO0210100,31,17,1948,-3.52681531689167,-4.47348880645052,-2.58014182733281,2.83636624626296e-13,CO
CO0210200,28,15,115,0.339928789147876,-0.565528216193764,1.24538579448951,0.461835506990519,CO
CO0220100,26,7,66,-12.8911836818734,-13.5371457868707,-12.245221576876,0,CO
CO0230000,22,10,53,-28.2897408763782,-28.6783461504759,-27.9011356022806,0,CO
CO0230300,14,8,30,-29.4664252740685,-30.3107885542255,-28.6220619939115,0,CO
