state,outcome,att,att_pp,se,ci_lo,ci_hi,p,nobs
IL,Arrest clearance,0.0131342793694271,1.31342793694271,0.00839980227422188,-0.0033293330880478,0.029597891826902,0.117901784764443,2160
IL,Exceptional clearance,-0.000827833161758785,-0.0827833161758785,0.00344700738022446,-0.00758396762699872,0.00592830130348115,0.810206251057518,2160
IL,Any clearance,0.0123064462076683,1.23064462076683,0.00936852000472003,-0.00605585300158292,0.0306687454169196,0.188982346351781,2160
OR,Arrest clearance,0.0280249083568107,2.80249083568107,0.00817748811257328,0.011997031656167,0.0440527850574543,0.000610108639731336,2160
OR,Exceptional clearance,0.0163191317824089,1.63191317824089,0.00329082011539512,0.00986912435623451,0.0227691392085834,7.08619731759172e-07,2160
OR,Any clearance,0.0443440401392196,4.43440401392196,0.00901622742809429,0.0266722343801548,0.0620158458982844,8.73223558871337e-07,2160
UT,Arrest clearance,0.000697230805293467,0.0697230805293467,0.00768819036646128,-0.0143716223129707,0.0157660839235576,0.927740072136213,2160
UT,Exceptional clearance,0.00225651769606185,0.225651769606185,0.00322643222374528,-0.0040672894624789,0.00858032485460259,0.484311576547635,2160
UT,Any clearance,0.00295374850135532,0.295374850135532,0.00838300518734289,-0.0134769416658367,0.0193844386685474,0.724576096754566,2160
DE,Arrest clearance,0.0309366667641253,3.09366667641253,0.00821768136618024,0.0148300112864121,0.0470433222418386,0.000166784751186899,2160
DE,Exceptional clearance,-0.0332161423452198,-3.32161423452198,0.00357697136836082,-0.040227006227207,-0.0262052784632326,1.60033359908018e-20,2160
DE,Any clearance,-0.00227947558109456,-0.227947558109456,0.00809686976192851,-0.0181493403144744,0.0135903891522853,0.778307346617455,2160
NV,Arrest clearance,0.0190744334130082,1.90744334130082,0.00649498668611243,0.00634425950822781,0.0318046073177885,0.00331625055500194,2160
NV,Exceptional clearance,0.0055032696197636,0.55032696197636,0.00219367013044261,0.00120367616409607,0.00980286307543112,0.0121174884735003,2160
NV,Any clearance,0.0245777030327718,2.45777030327718,0.00648250916208185,0.0118719850750914,0.0372834209904522,0.00014980811399697,2160
IN,Arrest clearance,0.0163757702820232,1.63757702820232,0.00712281977525398,0.00241504352252543,0.030336497041521,0.0215016899098134,2160
IN,Exceptional clearance,-0.0114837058027356,-1.14837058027356,0.00293001420401456,-0.0172265336426041,-0.00574087796286707,8.87938032012164e-05,2160
IN,Any clearance,0.00489206447928763,0.489206447928763,0.00723005998259239,-0.00927885308659346,0.0190629820451687,0.498641706018894,2160
CO,Arrest clearance,0.000658133526638661,0.0658133526638661,0.00692955422772612,-0.0129237927597045,0.0142400598129819,0.924334785823679,2160
CO,Exceptional clearance,-0.0212680245779521,-2.12680245779521,0.00307082450187816,-0.0272868406016333,-0.0152492085542709,4.33410631024592e-12,2160
CO,Any clearance,-0.0206098910513135,-2.06098910513135,0.00705436511227772,-0.0344364466713778,-0.00678333543124917,0.00348260977404449,2160
