state,att_log_n,se,p,pct_change
IL,0.638839688639735,0.0625318984393354,1.67753825960257e-24,89.4281647139941
OR,-0.145088671802292,0.058807096487161,0.01361755467493,-13.5054406574412
UT,-0.188900443061937,0.0535985153298561,0.000424507684654194,-17.2131077312816
DE,-0.0437993433095987,0.0530952000598224,0.409416466799727,-4.28540040467218
NV,-0.203774046240735,0.0290375108575406,2.25688806868378e-12,-18.4353351206074
IN,-0.0140928538453099,0.0431525010234476,0.743983643156453,-1.39940144351192
CO,-0.13164378599548,0.0407197596710328,0.0012253123320951,-12.3346784380081
