state,lag_months,outcome,att_pp,se,ci_lo_pp,ci_hi_pp
IL,0,clear_rate,1.23064462076683,0.00936852000472003,-0.605585300158292,3.06687454169196
IL,1,clear_rate,1.60710122121159,0.00946760075004516,-0.248548525797264,3.46275096822044
IL,2,clear_rate,1.77352503713523,0.00911943232948423,-0.0138836994436821,3.56093377371413
IL,3,clear_rate,1.72793872682211,0.00888230099354034,-0.0129922679117978,3.46886972155602
IL,4,clear_rate,2.09477736694609,0.00858311304337471,0.412487210444643,3.77706752344753
IL,6,clear_rate,1.83610705533938,0.00837592072130996,0.194426593962626,3.47778751671613
IL,9,clear_rate,1.02425566591435,0.00742675163718105,-0.431387654973138,2.47989898680183
IL,12,clear_rate,-0.133724910019881,0.00726458468035653,-1.55758350736976,1.29013368733
OR,0,clear_rate,4.43440401392196,0.00901622742809429,2.66722343801548,6.20158458982844
OR,1,clear_rate,4.32805452285631,0.00921074553790181,2.52274839742755,6.13336064828506
OR,2,clear_rate,4.62390685970748,0.00903613374748255,2.8528246452009,6.39498907421406
OR,3,clear_rate,5.41239290140868,0.00884270567365168,3.67922258937295,7.14556321344441
OR,4,clear_rate,5.40242521014603,0.00861261217239021,3.71435322435755,7.09049719593451
OR,6,clear_rate,6.46153508373678,0.0083595789937791,4.82305760095608,8.10001256651749
OR,9,clear_rate,5.1891148933287,0.00768021273262717,3.68379319773378,6.69443658892363
OR,12,clear_rate,5.30488949238928,0.00740786751049888,3.8529474603315,6.75683152444706
UT,0,clear_rate,0.295374850135532,0.00838300518734289,-1.34769416658367,1.93844386685474
UT,1,clear_rate,-0.326419557514631,0.00854651950717207,-2.00153738092036,1.34869826589109
UT,2,clear_rate,-0.510504755100307,0.00843702282747087,-2.1641612292846,1.14315171908398
UT,3,clear_rate,-1.12750283635624,0.00829636921772609,-2.75359120303055,0.498585530318078
UT,4,clear_rate,-1.1672921049872,0.0081245850104842,-2.7597107670421,0.425126557067701
UT,6,clear_rate,-1.97542858317828,0.00764846426200467,-3.4745275785312,-0.476329587825367
UT,9,clear_rate,-1.37533610954722,0.0074852801419734,-2.84245101737401,0.0917787982795627
UT,12,clear_rate,-0.915673652286879,0.00732519454148653,-2.35141178241824,0.520064477844481
DE,0,clear_rate,-0.227947558109456,0.00809686976192851,-1.81493403144744,1.35903891522853
DE,1,clear_rate,-0.911049311882415,0.00802082343622787,-2.48313070538308,0.661032081618247
DE,2,clear_rate,-1.68457873704279,0.00792787324427877,-3.23844189292143,-0.130715581164153
DE,3,clear_rate,-2.05133033054837,0.00791719415320366,-3.60310038457629,-0.499560276520452
DE,4,clear_rate,-1.91600946688077,0.00781556225770344,-3.44785966939064,-0.384159264370892
DE,6,clear_rate,-2.44034800943144,0.00765470232583246,-3.9406696652946,-0.940026353568281
DE,9,clear_rate,-0.211900438996605,0.00729436158482655,-1.64159530962261,1.2177944316294
DE,12,clear_rate,-1.49662563422587,0.00625591506117246,-2.72278498621567,-0.270466282236065
NV,0,clear_rate,2.45777030327718,0.00648250916208185,1.18719850750914,3.72834209904522
NV,1,clear_rate,2.19740306157461,0.00672355907707,0.879585482468892,3.51522064068033
NV,2,clear_rate,-0.804495142769948,0.0055177877722447,-1.88598154612991,0.276991260590013
NV,3,clear_rate,-0.548322152786408,0.00526707758320849,-1.58066935909527,0.484025053522455
NV,4,clear_rate,-2.72745316570551,0.00360791112698827,-3.43460374659521,-2.02030258481581
IN,0,clear_rate,0.489206447928763,0.00723005998259239,-0.927885308659346,1.90629820451687
IN,1,clear_rate,0.530397136433994,0.00698893752325626,-0.839434618124233,1.90022889099222
IN,2,clear_rate,-0.178853138734439,0.00665040748790134,-1.4823330063631,1.12462672889422
IN,3,clear_rate,-0.330495151147864,0.0063515861534395,-1.57540603722201,0.914415734926278
IN,4,clear_rate,-0.820226712584947,0.00623029386100403,-2.04136430934174,0.400910884171844
IN,6,clear_rate,-2.04317791138261,0.0064531342303656,-3.30799222053427,-0.778363602230949
IN,9,clear_rate,-1.44855630349945,0.0062184674270953,-2.66737591921013,-0.229736687788777
IN,12,clear_rate,-1.76211064551946,0.00645321961923787,-3.02694169089008,-0.497279600148841
CO,0,clear_rate,-2.06098910513135,0.00705436511227772,-3.44364466713778,-0.678333543124917
CO,1,clear_rate,-2.24619478413522,0.00684728339408555,-3.58826232937599,-0.904127238894456
CO,2,clear_rate,-2.40324701238577,0.00655940030770319,-3.68888947269559,-1.11760455207594
CO,3,clear_rate,-2.40943526339163,0.00649174541646637,-3.68181736501903,-1.13705316176422
CO,4,clear_rate,-1.65133884889395,0.00655720121252007,-2.93655028654788,-0.366127411240017
CO,6,clear_rate,-1.95541640979014,0.00677300590362601,-3.28292556690084,-0.627907252679447
CO,9,clear_rate,-2.90855155252718,0.00621121116405205,-4.12594894068138,-1.69115416437298
CO,12,clear_rate,-3.22717673554651,0.00664411301130354,-4.529422885762,-1.92493058533101
